"","Date","JWL.BO.Close"
"2023-11-03",2023-11-03,307.350006103516
"2023-11-06",2023-11-06,311.799987792969
"2023-11-07",2023-11-07,307
"2023-11-08",2023-11-08,311.600006103516
"2023-11-09",2023-11-09,319.25
"2023-11-10",2023-11-10,320.049987792969
"2023-11-13",2023-11-13,318.25
"2023-11-15",2023-11-15,315.299987792969
"2023-11-16",2023-11-16,313.799987792969
"2023-11-17",2023-11-17,329.450012207031
"2023-11-20",2023-11-20,345.899993896484
"2023-11-21",2023-11-21,338.799987792969
"2023-11-22",2023-11-22,335.549987792969
"2023-11-23",2023-11-23,327.049987792969
"2023-11-24",2023-11-24,339.350006103516
"2023-11-28",2023-11-28,332.899993896484
"2023-11-29",2023-11-29,339.549987792969
"2023-11-30",2023-11-30,347.149993896484
"2023-12-01",2023-12-01,341.850006103516
"2023-12-04",2023-12-04,340.299987792969
"2023-12-05",2023-12-05,346.549987792969
"2023-12-06",2023-12-06,340.299987792969
"2023-12-07",2023-12-07,323.299987792969
"2023-12-08",2023-12-08,313.299987792969
"2023-12-11",2023-12-11,316.350006103516
"2023-12-12",2023-12-12,313.450012207031
"2023-12-13",2023-12-13,314.950012207031
"2023-12-14",2023-12-14,329.149993896484
"2023-12-15",2023-12-15,335.850006103516
"2023-12-18",2023-12-18,328.899993896484
"2023-12-19",2023-12-19,328
"2023-12-20",2023-12-20,311.75
"2023-12-21",2023-12-21,326.299987792969
"2023-12-22",2023-12-22,323.799987792969
"2023-12-26",2023-12-26,320.299987792969
"2023-12-27",2023-12-27,320.950012207031
"2023-12-28",2023-12-28,316.899993896484
"2023-12-29",2023-12-29,319.049987792969
"2024-01-01",2024-01-01,319.899993896484
"2024-01-02",2024-01-02,318.450012207031
"2024-01-03",2024-01-03,317.649993896484
"2024-01-04",2024-01-04,331.600006103516
"2024-01-05",2024-01-05,342.600006103516
"2024-01-08",2024-01-08,349.850006103516
"2024-01-09",2024-01-09,343.049987792969
"2024-01-10",2024-01-10,338.799987792969
"2024-01-11",2024-01-11,354
"2024-01-12",2024-01-12,353.950012207031
"2024-01-15",2024-01-15,371.600006103516
"2024-01-16",2024-01-16,383.850006103516
"2024-01-17",2024-01-17,387.5
"2024-01-18",2024-01-18,NA
"2024-01-19",2024-01-19,399.149993896484
"2024-01-23",2024-01-23,398.149993896484
"2024-01-24",2024-01-24,387.700012207031
"2024-01-25",2024-01-25,394.049987792969
"2024-01-29",2024-01-29,393.100006103516
"2024-01-30",2024-01-30,385
"2024-01-31",2024-01-31,403.75
"2024-02-01",2024-02-01,395.950012207031
"2024-02-02",2024-02-02,405.5
"2024-02-05",2024-02-05,393.399993896484
"2024-02-06",2024-02-06,391.450012207031
"2024-02-07",2024-02-07,390.600006103516
"2024-02-08",2024-02-08,377.25
"2024-02-09",2024-02-09,372.850006103516
"2024-02-12",2024-02-12,345.100006103516
"2024-02-13",2024-02-13,347.049987792969
"2024-02-14",2024-02-14,351.200012207031
"2024-02-15",2024-02-15,367.549987792969
"2024-02-16",2024-02-16,368.649993896484
"2024-02-19",2024-02-19,386.25
"2024-02-20",2024-02-20,384.649993896484
"2024-02-21",2024-02-21,376.399993896484
"2024-02-22",2024-02-22,380.850006103516
"2024-02-23",2024-02-23,384.950012207031
"2024-02-26",2024-02-26,376.149993896484
"2024-02-27",2024-02-27,370.149993896484
"2024-02-28",2024-02-28,355.649993896484
"2024-02-29",2024-02-29,371.850006103516
"2024-03-01",2024-03-01,367.399993896484
"2024-03-04",2024-03-04,367.25
"2024-03-05",2024-03-05,377.799987792969
"2024-03-06",2024-03-06,361.899993896484
"2024-03-07",2024-03-07,369.850006103516
"2024-03-11",2024-03-11,363.049987792969
"2024-03-12",2024-03-12,340.450012207031
"2024-03-13",2024-03-13,307.75
"2024-03-14",2024-03-14,338.5
"2024-03-15",2024-03-15,340.950012207031
"2024-03-18",2024-03-18,343.75
"2024-03-19",2024-03-19,338.799987792969
"2024-03-20",2024-03-20,333.600006103516
"2024-03-21",2024-03-21,344
"2024-03-22",2024-03-22,355.049987792969
"2024-03-26",2024-03-26,365.299987792969
"2024-03-27",2024-03-27,369.75
"2024-03-28",2024-03-28,373.399993896484
