"","Date","JWL.BO.Close"
"2021-12-29",2021-12-29,44.8499984741211
"2021-12-30",2021-12-30,44.3499984741211
"2021-12-31",2021-12-31,43.75
"2022-01-03",2022-01-03,43.4000015258789
"2022-01-04",2022-01-04,43.0499992370605
"2022-01-05",2022-01-05,43.7000007629395
"2022-01-06",2022-01-06,43.0499992370605
"2022-01-07",2022-01-07,42.7999992370605
"2022-01-10",2022-01-10,44.5
"2022-01-11",2022-01-11,46.7000007629395
"2022-01-12",2022-01-12,49
"2022-01-13",2022-01-13,51.4500007629395
"2022-01-14",2022-01-14,54
"2022-01-17",2022-01-17,56.7000007629395
"2022-01-18",2022-01-18,53.9000015258789
"2022-01-19",2022-01-19,52.9000015258789
"2022-01-20",2022-01-20,55.5
"2022-01-21",2022-01-21,52.7999992370605
"2022-01-24",2022-01-24,50.2000007629395
"2022-01-25",2022-01-25,48.5999984741211
"2022-01-27",2022-01-27,50.75
"2022-01-28",2022-01-28,49.7000007629395
"2022-01-31",2022-01-31,49.5499992370605
"2022-02-01",2022-02-01,48.3499984741211
"2022-02-02",2022-02-02,49
"2022-02-03",2022-02-03,51.3499984741211
"2022-02-04",2022-02-04,52.0999984741211
"2022-02-07",2022-02-07,52
"2022-02-08",2022-02-08,49.4000015258789
"2022-02-09",2022-02-09,48.25
"2022-02-10",2022-02-10,48.0499992370605
"2022-02-11",2022-02-11,45.9000015258789
"2022-02-14",2022-02-14,NA
"2022-02-15",2022-02-15,43.9000015258789
"2022-02-16",2022-02-16,42
"2022-02-17",2022-02-17,40.7999992370605
"2022-02-18",2022-02-18,42
"2022-02-21",2022-02-21,40.9500007629395
"2022-02-22",2022-02-22,39.9000015258789
"2022-02-23",2022-02-23,41.8499984741211
"2022-02-24",2022-02-24,37.7000007629395
"2022-02-25",2022-02-25,37.9500007629395
"2022-02-28",2022-02-28,39.75
"2022-03-02",2022-03-02,40.0499992370605
"2022-03-03",2022-03-03,42.1500015258789
"2022-03-04",2022-03-04,41.0999984741211
"2022-03-07",2022-03-07,40
"2022-03-08",2022-03-08,41.0999984741211
"2022-03-09",2022-03-09,43.5
"2022-03-10",2022-03-10,42.9000015258789
"2022-03-11",2022-03-11,42.75
"2022-03-14",2022-03-14,42.8499984741211
"2022-03-15",2022-03-15,43
"2022-03-16",2022-03-16,42.75
"2022-03-17",2022-03-17,43.1500015258789
"2022-03-21",2022-03-21,42.2000007629395
"2022-03-22",2022-03-22,42.75
"2022-03-23",2022-03-23,41.5999984741211
"2022-03-24",2022-03-24,41.2999992370605
"2022-03-25",2022-03-25,41.7999992370605
"2022-03-28",2022-03-28,41.7000007629395
"2022-03-29",2022-03-29,43.9000015258789
"2022-03-30",2022-03-30,43.9000015258789
"2022-03-31",2022-03-31,43.6500015258789
"2022-04-01",2022-04-01,46.4500007629395
"2022-04-04",2022-04-04,47.7999992370605
"2022-04-05",2022-04-05,48.9500007629395
"2022-04-06",2022-04-06,53.7999992370605
"2022-04-07",2022-04-07,50.3499984741211
"2022-04-08",2022-04-08,52.0999984741211
"2022-04-11",2022-04-11,50.9500007629395
"2022-04-12",2022-04-12,49.4000015258789
"2022-04-13",2022-04-13,50.9500007629395
"2022-04-18",2022-04-18,51.25
"2022-04-19",2022-04-19,55.2000007629395
"2022-04-20",2022-04-20,56.9500007629395
"2022-04-21",2022-04-21,57.7999992370605
"2022-04-22",2022-04-22,57.5
"2022-04-25",2022-04-25,56.9500007629395
"2022-04-26",2022-04-26,56.0999984741211
"2022-04-27",2022-04-27,52.4000015258789
"2022-04-28",2022-04-28,51.7000007629395
"2022-04-29",2022-04-29,56.7999992370605
"2022-05-02",2022-05-02,NA
